"GSEIDs","nSamples_adi","indicadorMT","adiGSMs"
"GSE38321",10,"MONOTEJIDO","ALL"
"GSE79434",24,"MULTITEJIDO","'GSM2095226', 'GSM2095227', 'GSM2095228', 'GSM2095229', 'GSM2095230', 'GSM2095231', 'GSM2095232', 'GSM2095233', 'GSM2095234', 'GSM2095235', 'GSM2095236', 'GSM2095237', 'GSM2095287', 'GSM2095288', 'GSM2095289', 'GSM2095290', 'GSM2095291', 'GSM2095292', 'GSM2095293', 'GSM2095294', 'GSM2095295', 'GSM2095296', 'GSM2095297', 'GSM2095298'"
"GSE54650",48,"MULTITEJIDO","'GSM1321062', 'GSM1321063', 'GSM1321064', 'GSM1321065', 'GSM1321066', 'GSM1321067', 'GSM1321068', 'GSM1321069', 'GSM1321070', 'GSM1321071', 'GSM1321072', 'GSM1321073', 'GSM1321074', 'GSM1321075', 'GSM1321076', 'GSM1321077', 'GSM1321078', 'GSM1321079', 'GSM1321080', 'GSM1321081', 'GSM1321082', 'GSM1321083', 'GSM1321084', 'GSM1321085', 'GSM1321254', 'GSM1321255', 'GSM1321256', 'GSM1321257', 'GSM1321258', 'GSM1321259', 'GSM1321260', 'GSM1321261', 'GSM1321262', 'GSM1321263', 'GSM1321264', 'GSM1321265', 'GSM1321266', 'GSM1321267', 'GSM1321268', 'GSM1321269', 'GSM1321270', 'GSM1321271', 'GSM1321272', 'GSM1321273', 'GSM1321274', 'GSM1321275', 'GSM1321276', 'GSM1321277'"
"GSE55272",12,"MULTITEJIDO","'GSM1333082', 'GSM1333083', 'GSM1333084', 'GSM1333085', 'GSM1333086', 'GSM1333087', 'GSM1333100', 'GSM1333101', 'GSM1333102', 'GSM1333103', 'GSM1333104', 'GSM1333105'"
"GSE35026",24,"MONOTEJIDO","ALL"
"GSE37514",15,"MONOTEJIDO","ALL"
